state,popestimate2019,lat,long,total_cases,total_deaths,avg_daily_cases,avg_daily_deaths,case_rate,death_rate,cases_per_100k,deaths_per_100k,state code,region,division
Alabama,4903185,32.377716,-86.300568,838836.0,15990.0,1375.1409836065575,26.21311475409836,0.17107981,0.0032611457,17107.982,326.11456,AL,South,East South Central
Alaska,731545,58.301598,-134.42021200000002,144222.0,815.0,236.04255319148936,1.3338788870703764,0.19714713,0.0011140804,19714.713,111.40805,AK,West,Pacific
Arizona,7278717,33.448143,-112.096962,1207572.0,21706.0,1838.0091324200914,33.03805175038052,0.1659045,0.0029821189,16590.451,298.21188,AZ,West,Mountain
Arkansas,3017804,34.746613,-92.288986,519663.0,8916.0,849.1225490196078,14.568627450980392,0.17219906,0.0029544663,17219.906,295.44662,AR,South,West South Central
California,39512223,38.576668,-121.493629,5000200.0,75031.0,7599.088145896657,114.02887537993921,0.12654819,0.0018989313,12654.818,189.89314,CA,West,Pacific
Colorado,5758736,39.739227,-104.98485600000001,786480.0,8828.0,1272.621359223301,14.284789644012944,0.13657163,0.0015329752,13657.164,153.29753,CO,West,Mountain
Connecticut,3565287,41.764046,-72.682198,407804.0,8835.0,663.0959349593496,14.365853658536585,0.11438181,0.0024780615,11438.182,247.80614,CT,Northeast,New England
Delaware,973764,39.157307,-75.519722,147325.0,2127.0,240.72712418300654,3.4754901960784315,0.15129437,0.0021843074,15129.436,218.43076,DE,South,South Atlantic
District of Columbia,705749,38.895109999999995,-77.03636999999999,65395.0,1194.0,106.16071428571429,1.9383116883116882,0.09266042,0.0016918196,9266.042,169.18196,DC,South,South Atlantic
Florida,21477737,30.438118,-84.281296,3749131.0,60697.0,6027.541800643086,97.58360128617363,0.17455894,0.0028260427,17455.895,282.60425,FL,South,South Atlantic
Georgia,10617423,33.749027000000005,-84.38822900000001,1612992.0,28786.0,2597.4106280193237,46.35426731078905,0.15191935,0.002711204,15191.935,271.1204,GA,South,South Atlantic
Hawaii,1415872,21.307442,-157.857376,82846.0,977.0,134.27228525121555,1.5834683954619124,0.058512352,0.0006900341,5851.2354,69.00341,HI,West,Pacific
Idaho,1787065,43.617775,-116.199722,298768.0,3731.0,489.783606557377,6.116393442622951,0.16718362,0.0020877807,16718.361,208.77808,ID,West,Mountain
Illinois,12671821,39.798363,-89.654961,1740923.0,28992.0,2641.7647951441577,43.99393019726859,0.13738538,0.002287911,13738.538,228.7911,IL,Midwest,East North Central
Indiana,6732219,39.768623,-86.162643,1053167.0,17090.0,1706.9157212317666,27.698541329011345,0.15643683,0.002538539,15643.683,253.8539,IN,Midwest,East North Central
Iowa,3155070,41.591087,-93.603729,500474.0,7168.0,813.7788617886179,11.65528455284553,0.15862532,0.0022718988,15862.532,227.1899,IA,Midwest,West North Central
Kansas,2913314,39.048190999999996,-95.67795600000001,448766.0,6838.0,728.5162337662338,11.10064935064935,0.1540397,0.0023471552,15403.97,234.71552,KS,Midwest,West North Central
Kentucky,4467673,38.186721999999996,-84.875374,765091.0,10328.0,1240.0178282009724,16.73905996758509,0.17125045,0.002311718,17125.045,231.1718,KY,South,East South Central
Louisiana,4648794,30.457069,-91.187393,766112.0,14685.0,1247.7394136807818,23.916938110749186,0.164798,0.003158884,16479.8,315.88837,LA,South,West South Central
Maine,1344212,44.307167,-69.781693,110352.0,1224.0,180.6088379705401,2.0032733224222588,0.08209419,0.00091057067,8209.419,91.05707,ME,Northeast,New England
Maryland,6045680,38.978764,-76.490936,570055.0,11040.0,922.4190938511326,17.864077669902912,0.09429129,0.0018260973,9429.13,182.60973,MD,South,South Atlantic
Massachusetts,6892503,42.358162,-71.063698,888795.0,19249.0,1365.2764976958526,29.568356374807987,0.12895098,0.0027927444,12895.098,279.27444,MA,Northeast,New England
Michigan,9986857,42.733635,-84.555328,1344352.0,24306.0,2193.070146818923,39.65089722675367,0.13461213,0.0024337987,13461.212,243.37987,MI,Midwest,East North Central
Minnesota,5639632,44.955096999999995,-93.102211,841749.0,9120.0,1364.260940032415,14.781199351701783,0.14925602,0.0016171267,14925.602,161.71268,MN,Midwest,West North Central
Mississippi,2976149,32.303847999999995,-90.182106,508469.0,10187.0,830.8316993464052,16.645424836601308,0.17084797,0.0034228796,17084.797,342.28796,MS,South,East South Central
Missouri,6137428,38.579201,-92.172935,900044.0,13295.0,1461.1103896103896,21.582792207792206,0.1466484,0.002166217,14664.84,216.62169,MO,Midwest,West North Central
Montana,1068778,46.585709,-112.018417,184595.0,2485.0,302.61475409836066,4.073770491803279,0.17271595,0.0023250852,17271.594,232.50853,MT,West,Mountain
Nebraska,1934408,40.808075,-96.69965400000001,295274.0,3058.0,464.9984251968504,4.815748031496063,0.15264308,0.0015808454,15264.309,158.08453,NE,Midwest,West North Central
Nevada,3080156,39.163914,-119.766121,459878.0,7816.0,744.1391585760517,12.647249190938512,0.14930348,0.0025375339,14930.348,253.75339,NV,West,Mountain
New Hampshire,1359711,43.206897999999995,-71.537994,144626.0,1622.0,232.89210950080516,2.611916264090177,0.10636525,0.0011929006,10636.525,119.290054,NH,Northeast,New England
New Jersey,8882190,40.220596,-74.769913,1233139.0,28386.0,1992.1470113085622,45.8578352180937,0.13883276,0.0031958334,13883.276,319.58334,NJ,Northeast,Middle Atlantic
New Mexico,2096829,35.68224,-105.939728,292078.0,5171.0,477.2516339869281,8.449346405228757,0.1392951,0.0024661047,13929.51,246.61047,NM,West,Mountain
New York,19453561,42.652843,-73.757874,2615549.0,56661.0,4205.0627009646305,91.09485530546624,0.13445091,0.0029126287,13445.091,291.26288,NY,Northeast,Middle Atlantic
North Carolina,10488084,35.780429999999996,-78.639099,1504462.0,18439.0,2426.5516129032258,29.740322580645163,0.14344488,0.0017580905,14344.488,175.80904,NC,South,South Atlantic
North Dakota,762062,46.82085,-100.78331800000001,154567.0,1846.0,252.56045751633988,3.0163398692810457,0.20282733,0.0024223751,20282.732,242.2375,ND,Midwest,West North Central
Ohio,11689100,39.961346,-82.99906899999999,1596171.0,26839.0,2599.6270358306188,43.71172638436482,0.13655208,0.0022960708,13655.209,229.60707,OH,Midwest,East North Central
Oklahoma,3956971,35.492207,-97.503342,652731.0,10883.0,1057.9108589951377,17.638573743922205,0.16495724,0.002750336,16495.723,275.0336,OK,South,West South Central
Oregon,4217737,44.938461,-123.030403,376374.0,4738.0,603.1634615384615,7.592948717948718,0.089236006,0.0011233512,8923.601,112.33512,OR,West,Pacific
Pennsylvania,12801989,40.264378,-76.88359799999999,1618870.0,32391.0,2623.776337115073,52.497568881685574,0.12645456,0.0025301536,12645.457,253.01537,PA,Northeast,Middle Atlantic
Rhode Island,1059361,41.830914,-71.414963,183597.0,2892.0,295.17202572347264,4.64951768488746,0.17330919,0.0027299477,17330.92,272.99475,RI,Northeast,New England
South Carolina,5148714,34.000343,-81.033211,906945.0,14017.0,1469.9270664505673,22.71799027552674,0.17614982,0.0027224275,17614.98,272.24274,SC,South,South Atlantic
South Dakota,884659,44.367031,-100.346405,159343.0,2281.0,259.9396411092985,3.721044045676998,0.180118,0.0025783947,18011.799,257.83945,SD,Midwest,West North Central
Tennessee,6829174,36.16581,-86.78424100000001,1265599.0,16533.0,2047.8948220064724,26.75242718446602,0.18532242,0.002420937,18532.242,242.0937,TN,South,East South Central
Texas,28995881,30.27467,-97.740349,4272487.0,73014.0,6675.7609375,114.084375,0.14734806,0.0025180818,14734.807,251.80818,TX,South,West South Central
Utah,3205958,40.777477000000005,-111.88823700000002,571684.0,3349.0,911.7767145135566,5.3413078149920254,0.17831925,0.0010446175,17831.924,104.461754,UT,West,Mountain
Vermont,623989,44.262436,-72.580536,44030.0,393.0,71.47727272727273,0.637987012987013,0.07056214,0.0006298188,7056.2144,62.98188,VT,Northeast,New England
Virginia,8535519,37.538857,-77.43364,942837.0,14551.0,1530.5795454545455,23.621753246753247,0.110460415,0.0017047586,11046.042,170.47586,VA,South,South Atlantic
Washington,7614893,47.035804999999996,-122.905014,752746.0,9481.0,1137.0785498489427,14.321752265861027,0.098851815,0.0012450601,9885.182,124.50602,WA,West,Pacific
West Virginia,1792147,38.336246,-81.612328,281865.0,4930.0,465.1237623762376,8.135313531353136,0.15727784,0.0027508903,15727.783,275.08905,WV,South,South Atlantic
Wisconsin,5822434,43.074684000000005,-89.384445,921389.0,9707.0,1424.0942812982998,15.003091190108192,0.15824808,0.0016671722,15824.808,166.71722,WI,Midwest,East North Central
Wyoming,578759,41.140259,-104.820236,107499.0,1298.0,175.65196078431373,2.1209150326797386,0.18574053,0.0022427298,18574.053,224.27296,WY,West,Mountain
USA,328239523,2009.567198,-4750.333223999999,1451975458.0,23682016.0,438663.2803625378,7154.687613293051,4.4235244,0.072148584,442352.4,7214.8584,USA,All,All
